"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1800666334377938960","Tue Jun 11 23:08:03 +0000 2024","0","CARATS INDONESIA MABOK JAJANAN INDOMARET CHEEECKKKKKK","1800666334377938960","","","in","09 gank","0","0","0","https://x.com/jizchmine/status/1800666334377938960","1420522715434287105","jizchmine"
"1800665644666597505","Tue Jun 11 23:05:19 +0000 2024","0","Pagi ini mau nongki depan indomaret deh cari udara segaaaaar..","1800665644666597505","","","in","","0","1","0","https://x.com/yourandahh_twt/status/1800665644666597505","2499129716","yourandahh_twt"
"1800664558719353203","Tue Jun 11 23:01:00 +0000 2024","0","Eh tostos di Alfamart/Indomaret itu berapaan? ","1800664558719353203","","","in","heaven","0","5","0","https://x.com/cracksourus/status/1800664558719353203","1637702179669811200","cracksourus"
"1800513317724627011","Tue Jun 11 22:57:37 +0000 2024","0","@Indomaret kak cek DM mau komplain. komplain sudah dilakukan ke aplikasi tapi tidak ada tanggapan jadi saya komplain sini saja","1800663707166626279","","Indomaret","in","","0","1","0","https://x.com/nanalunarking/status/1800663707166626279","1636719051899834368","nanalunarking"
"1800153700402676138","Tue Jun 11 22:55:19 +0000 2024","0","@MenfessUnej Aku rekomenin spicy wonton sih nder. Depannya warung masakan bunda deketnya indomaret","1800663128050749601","","MenfessUnej","in","liburan (kpop era) ","0","0","0","https://x.com/studeyspace/status/1800663128050749601","1612072292506558464","studeyspace"
"1800350752852095304","Tue Jun 11 22:42:45 +0000 2024","0","@Boediantar4 Sdg kan lazisnu adanya di tromol indomaret","1800659967776817456","","Boediantar4","in","","0","0","0","https://x.com/sawar1886390/status/1800659967776817456","1790879022223921152","sawar1886390"
"1800642405118394789","Tue Jun 11 22:40:12 +0000 2024","0","@YUPIEN_FESS Mauu gantiin kos aku kaah? 850 udah ac km dalem ada tempar jemur pribadi. Deket banget dari indomaret point gerbang 2","1800659325477847532","","YUPIEN_FESS","in","","0","2","0","https://x.com/sjofee/status/1800659325477847532","332090807","sjofee"
"1800170448518590479","Tue Jun 11 22:00:06 +0000 2024","1","@iladasilfar @mhdarieff_ Matcha starbucks enak bgt tp krn gaboleh ke matcha janji jiwa atau matcha indomaret point aku yakin kamu akan makin gasuka wkwkw krn serumput itu","1800649232946262125","","iladasilfar","in","Dihatimu","0","0","0","https://x.com/amaaa0601/status/1800649232946262125","716863357","amaaa0601"
"1800604987506221384","Tue Jun 11 19:04:17 +0000 2024","1","orang selalu tanya apa yang best sangat pergi indo..... indomaret u indomaret ","1800604987506221384","","","in","","0","0","0","https://x.com/rdzuannn/status/1800604987506221384","782224508337782788","rdzuannn"
"1800366207113269339","Tue Jun 11 18:52:46 +0000 2024","0","@escincau34 Sumpah kasus nyolong di Alfamart sama Indomaret banyak bgt bjir","1800602090102005955","","escincau34","in","Jakarta Capital Region","0","0","0","https://x.com/rojevorpresidnt/status/1800602090102005955","1031631178896310272","rojevorpresidnt"
"1800459241129669070","Tue Jun 11 18:39:35 +0000 2024","0","@moonvaeri WKWKW ngga bawah pohon juga kali. mending di tempat jajanan yang jual minum aja ato indomaret","1800598773997130019","","moonvaeri","in","Leo vixx-ocrp","0","1","0","https://x.com/h_aficnough/status/1800598773997130019","1618748138164215809","h_aficnough"
"1800597004684554343","Tue Jun 11 18:32:34 +0000 2024","0","pgn jd manusia indomaret malem ini tp ujan jd main ps ajadah https://t.co/ViHQMvpssd","1800597004684554343","https://pbs.twimg.com/media/GP0BbJ-bIAELiq9.jpg","","in","","0","1","0","https://x.com/nnaphthalene/status/1800597004684554343","1409162716154007553","nnaphthalene"
"1800582495769067654","Tue Jun 11 18:27:47 +0000 2024","0","@727O8 @Indomaret jir dirampok indomar","1800595802446078331","","727O8","in","warung kopi toink","0","0","0","https://x.com/Q32023/status/1800595802446078331","1586570164866547712","Q32023"
"1800595567401419088","Tue Jun 11 18:26:51 +0000 2024","0","pertama kli ke lawson krna ga ada indomaret.... ga ada plastiknya anjmc... ngomong kek mana dh ambil 5 ciki kek org rakus bawanya sambil jalan dijepit di ketiak","1800595567401419088","","","in","","0","0","0","https://x.com/b_luceez/status/1800595567401419088","1411909049369587712","b_luceez"
"1800588489958080722","Tue Jun 11 18:24:01 +0000 2024","0","@ruiriika wih keren jagoan kursi mau terus ikut indomaret angin ririka nuna","1800594856886280416","","ruiriika","in","outlander.","0","0","0","https://x.com/woonhagz/status/1800594856886280416","1791457049802604544","woonhagz"
"1800594111113924643","Tue Jun 11 18:21:04 +0000 2024","1","pas pertama kali naik motor mah gk nabrak tapi pas pertama kali minjem motor temen lgsg ditabrak banci user vesmet pas mau keluar indomaret","1800594111113924643","","","in","here and there","0","0","0","https://x.com/Chri_stophr/status/1800594111113924643","1302947799164571650","Chri_stophr"
"1800189553564844414","Tue Jun 11 18:17:15 +0000 2024","44","@buttwhee @elsadarita @FSchwarzeneger @lifeupd4te Kaga itu mah karena lu gak lucky dapet petugas yang aneh. Aslinya mah sama aja pake swasta atau BPJS gak ngaruh ke duit petugasnya. Sama kaya kasir indomaret gak peduli lu mau bayar cash full atau pake kartu debit yang dapet potongan. Gak ada yang peduli kecuali orang atas.","1800593153298448885","","buttwhee","in","","0","4","1","https://x.com/cattoughts/status/1800593153298448885","1914243601","cattoughts"
"1800592937417601291","Tue Jun 11 18:16:24 +0000 2024","0","idup kalo ga di kos ya di indomaret bunderan","1800592937417601291","","","in","","0","0","0","https://x.com/kripiksetam/status/1800592937417601291","1146028785575182336","kripiksetam"
"1800591872425136489","Tue Jun 11 18:15:26 +0000 2024","0","@meeo_ww ini nanti disuruh beli seisi indomaret buat dapet orangnya ","1800592696652014021","","meeo_ww","in","saythename","0","0","0","https://x.com/miinsintya/status/1800592696652014021","1579471723870945285","miinsintya"
"1800592089828536621","Tue Jun 11 18:13:02 +0000 2024","1","Gratis Ngent00t Kasir Indomaret Tog3e Hijab https://t.co/ddOZsAhZhF Eva Calista Ny3pong K0nToI https://t.co/3e0D1oZ2zt Ngwe Miss Eva Sayang Kamu Diatas https://t.co/QwpSnyGPSx Ukhti Elsya Cantik Tog3e C0lm3k 2 https://t.co/oTuU5v8NYO","1800592089828536621","","","in","","0","0","0","https://x.com/Katanacc10/status/1800592089828536621","840030304794435585","Katanacc10"
"1800463693056237906","Tue Jun 11 18:08:43 +0000 2024","0","@rams__________ @manutd_world Kayak bapak2 sama anaknya kalo di depan kasir indomaret","1800591005756072394","","rams__________","in","","0","0","0","https://x.com/KorengLalat/status/1800591005756072394","1258337930726129667","KorengLalat"
"1800396487131848965","Tue Jun 11 18:01:29 +0000 2024","0","@Agifa_del Semoga camerku beliin aku Indomaret","1800589183486148669","","Agifa_del","in","","0","1","0","https://x.com/Henda_48/status/1800589183486148669","991720519","Henda_48"
"1800585640935112877","Tue Jun 11 17:47:24 +0000 2024","1","aku pernah diajak berhenti di indomaret tbtb dibelikan ice cream tanpa sepintaku sederhana tp ternyata bojone uwong","1800585640935112877","","","in","","0","0","0","https://x.com/arniatuls/status/1800585640935112877","2179985425","arniatuls"
"1800581085744771320","Tue Jun 11 17:35:55 +0000 2024","1","@brengshake_ Indomaret 24 jam","1800582748912119925","","brengshake_","in","intp 18+, carat only.","0","0","0","https://x.com/joshuji__ti/status/1800582748912119925","1505069848111751171","joshuji__ti"
